name,category,subcategory,description,season,frequency,lat_wgs84,lon_wgs84,E_LV95,N_LV95,urban_zone,origin_century,heritage_status,notes,region_segment
Abbaye de Tir / Sociétés de tir locales,Traditional society,Shooting society,"Local shooting society tradition (Abbaye/Société de tir) present in most corridor towns. Annual competitions (tirs), communal meals, civic ceremonies. Some dating to medieval period.",Summer,Annual (local tirs),46.45432,6.85747,2555349.2,1144942.0,La Tour-de-Peilz (abbaye),Medieval onwards,Yes (broader Swiss tradition),Intimately linked to Swiss civic identity and militia system.,Corridor-wide / Rotating
Bande dessinée genevoise,Cultural tradition,Comics/illustration,"Geneva has a strong tradition of comics and illustrated posters (affiche illustrée), recognized as a living tradition. Includes festivals, publishers, and artist communities.",Year-round,Continuous + periodic festivals,46.2,6.1488,2500440.3,1117324.8,Genève,20th,Yes (national living traditions),"Rodolphe Töpffer, considered inventor of the comic strip, was Genevan.",Geneva
Tradition botanique genevoise,Scientific tradition,Botanical heritage,"Geneva's botanical tradition dating from the 18th century, centered on the Conservatoire et Jardin botaniques. Annual observation of the Marronnier de la Treille (already listed) is part of this broader tradition.",Year-round,Continuous,46.222,6.148,2500418.8,1119771.1,Genève - Jardin botanique,18th,Yes (national living traditions),World-renowned herbaria and botanical research.,Geneva
20km de Lausanne,Sport tradition,Road running,"One of Switzerland's top 3 road races, held annually in spring. Massive popular participation, a defining Lausanne sporting tradition.",Spring,Annual (April),46.5063,6.6265,2537664.0,1150878.2,Lausanne - Ouchy to centre,20th (since 1982),No,"Over 25,000 runners. Major community event.",Lausanne
Athletissima,Sport tradition,Track and field athletics,"International athletics meeting in Lausanne, part of the Diamond League. One of the world's top athletics events, held at Stade de la Pontaise.",Summer,Annual (August-September),46.54,6.62,2537204.3,1154629.4,Lausanne - Stade de la Pontaise,20th (since 1977),No,World-class athletics in the Olympic Capital.,Lausanne
Tradition olympique de Lausanne,Institutional tradition,Olympic heritage,"Lausanne is the Olympic Capital, hosting the IOC since 1915, the Olympic Museum, and multiple international sports federations. This institutional identity shapes the city's cultural life.",Year-round,Continuous,46.508,6.634,2538241.6,1151061.2,Lausanne - Ouchy / Olympic Museum,20th (IOC since 1915),No,Defines Lausanne's international identity.,Lausanne
Cully Jazz Festival,Music festival,Jazz,"Major spring jazz festival held annually in the wine village of Cully (Lavaux). 140+ concerts over 9 days, performances in wine cellars and open-air stages. Founded 1984, 43rd edition in 2026.",Spring,Annual (April),46.4895,6.7297,2545568.0,1148933.8,Cully (Bourg-en-Lavaux),20th (since 1984),Yes (cantonal living traditions),Performances in wine cellars integrate terroir and music.,Lutry-Lavaux
Illumination de la Cathédrale de Lausanne,Light tradition,Religious heritage,"Traditional illumination of Lausanne Cathedral, a living tradition of the canton. The cathedral's nighttime lighting and special illumination events are part of the city's cultural identity.",Year-round,Continuous + special events,46.5228,6.6352,2538350.6,1152705.4,Lausanne - Cité,Historical,Yes (cantonal living traditions),Combined with the guet tradition.,Lausanne
Coupe de Noël de Genève,Sport tradition,Winter swimming,"World's largest winter swimming event, held annually since 1934. 4,400+ participants swim 100m in the Rade at 5-10°C water. Inscribed to Swiss national living traditions in 2023. Originally inspired by the Parisian Coupe de Noël.",Winter,Annual (December),46.209,6.151,2500626.5,1118322.4,Genève - Jardin Anglais / Rade,20th (since 1934),Yes (national living traditions 2023),World's largest cold-water swimming event. 87th edition in 2025.,Geneva
Nage en hiver / Baignade hivernale lémanique,Sport tradition,Winter swimming,"Growing tradition of winter swimming in Lake Geneva, practiced year-round at Bains des Pâquis and Plage des Eaux-Vives. Moon swims, lighthouse circuits. Recognized as Swiss living tradition in 2023.",Winter,Continuous (November-March),46.2125,6.1495,2500517.2,1118713.3,Genève - Bains des Pâquis / Eaux-Vives,"20th, growing 21st",Yes (national living traditions 2023),Part of broader Léman culture.,Geneva
Navigation à voiles latines sur le Léman,Maritime tradition,Historic sailing,"Latin-rigged sailing on Lake Geneva, dating to 13th century. Barques à voiles latines are traditional cargo boats. Inscribed Vaud cantonal heritage 2021, Swiss national 2023. UNESCO candidacy submitted 2025 (decision expected late 2026).",Spring-Autumn,Continuous + regattas,46.51045,6.62831,2537807.7,1151337.7,Lausanne-Ouchy (historic harbour),13th century,"Yes (cantonal 2021, national 2023, UNESCO candidacy 2025)","Multinational UNESCO candidacy with Croatia, France, Greece, Spain.",Corridor-wide / Rotating
Régates lémaniques,Sailing tradition,Competitive sailing,"Network of 150+ annual regattas organized by 33 clubs (ACVL, 4500 members). Includes Bol d'Or, Semaines du soir, Régate des Vieux Bateaux de La Tour-de-Peilz. Recognized as Swiss living tradition 2023.",Spring-Autumn,150+ per year,46.21,6.156,2501014.2,1118427.2,Genève - SNG (oldest regatta club 1872),19th (first Genève regatta 1872),Yes (national living traditions 2023),"33 clubs, 4500 members, tradition since 1872.",Corridor-wide / Rotating
Fête de Mai de Begnins,Seasonal celebration,Spring festival,"Ancestral spring celebration in Begnins (above Nyon-Gland). Children's parade, music, games. Revived in 2022 after 7 years' absence. Part of cantonal living traditions inventory.",Spring,Annual (May),46.444,6.27,2510199.2,1144299.3,Begnins (above Gland),Historical (ancestral),Yes (cantonal living traditions),Important for the thin Rolle-Gland corridor zone.,Nyon-Gland
Foire des Planches (Montreux),Traditional fair,Market,Traditional fair at Les Planches quarter in Montreux. Listed in cantonal living traditions alongside other historic fairs.,Variable,Annual,46.435,6.92,2560138.7,1142760.8,Montreux - Les Planches,Historical,Yes (cantonal living traditions),Distinct from Foire de Brent.,Montreux-Villeneuve
La Verrée vaudoise,Social tradition,Communal drinking,"Traditional communal wine-drinking gathering in Vaud. A verrée marks official occasions, inaugurations, civic events. The shared glass of local wine is a fundamental social ritual.",Year-round,Continuous (at civic occasions),46.51091,6.49716,2527742.9,1151501.9,Morges (verrée tradition),Historical,Yes (cantonal living traditions),Fundamental social ritual across all Vaudois communities.,Corridor-wide / Rotating
Contes et légendes lémaniques,Oral tradition,Storytelling,"Tradition of local legends and tales particular to the Léman shores: lake monsters, pirates of the Léman, castle ghosts, vineyard spirits. Active storyteller communities maintain the tradition.",Year-round,Continuous,46.46,6.925,2560541.2,1145537.4,Château de Chillon (legends),Medieval to present,Yes (cantonal living traditions),"Includes Léman pirates legend, Château de Chillon stories.",Corridor-wide / Rotating
Patois vaudois,Oral tradition,Language heritage,"The Vaudois dialect (Franco-Provençal), once the everyday language of the region. Now threatened but maintained through associations, courses, and cultural events. Cantonal living tradition.",Year-round,Continuous (declining),46.4604,6.84211,2554174.1,1145627.4,Vevey (patois associations),Medieval to present,Yes (cantonal living traditions),Endangered but actively maintained by associations.,Corridor-wide / Rotating
Pêche professionnelle traditionnelle du Léman,Fishing tradition,Artisanal fishing,Traditional professional fishing on Lake Geneva using historic methods. Filets de perche (perch fillets) are the iconic local dish. Fishermen's cooperatives maintain the tradition.,Year-round,Continuous,46.46254,6.84246,2554202.6,1145865.0,Vevey port (fishing tradition),Medieval to present,Yes (cantonal living traditions),Source of iconic filets de perche dish.,Corridor-wide / Rotating
Cueillette des narcisses (Riviera),Nature tradition,Botanical,Traditional narcissus picking on the Riviera hills above Montreux. Spring tradition linked to the Fête des Narcisses (historically). Cantonal living tradition.,Spring,Annual (April-May),46.45,6.905,2558997.3,1144436.0,Montreux hinterland (Les Avants),Historical,Yes (cantonal living traditions),Narcissus fields above Montreux.,Vevey-La Tour-de-Peilz
Société internationale de sauvetage du Léman (SISL),Rescue tradition,Lake safety,"The Léman rescue society, a tradition of volunteer lake safety and rescue since 1885. Stations all along the lake shore. Cantonal living tradition.",Year-round,Continuous,46.51148,6.49684,2527719.2,1151565.5,Morges (SISL headquarters),19th (since 1885),Yes (cantonal living traditions),Volunteer tradition along entire corridor.,Corridor-wide / Rotating
Canots en bois du Léman,Craft tradition,Boat building,Traditional wooden boat (canot) building and maintenance on Lake Geneva. Distinct craft tradition linked to the lake's maritime heritage. Cantonal living tradition.,Year-round,Continuous,46.45207,6.85875,2555445.1,1144691.2,La Tour-de-Peilz (boat heritage),19th-20th,Yes (cantonal living traditions),Includes restoration of historic boats.,Corridor-wide / Rotating
Pratiques mortuaires vaudoises,Social tradition,Funerary customs,"Distinct Vaudois funerary customs and practices, including the communal repast (repas funéraire), the cortège, and particular cemetery traditions. Cantonal living tradition.",Year-round,Continuous,46.52259,6.63344,2538215.0,1152683.7,Vevey area,Historical,Yes (cantonal living traditions),Distinct from French or Germanic practices.,Corridor-wide / Rotating
Paysannes vaudoises,Social tradition,Rural women's network,"Network of Vaudois rural women's associations organizing educational, social, and cultural activities in villages. A key community institution particularly in the corridor's smaller towns.",Year-round,Continuous,46.45968,6.33792,2515442.2,1145967.1,Rolle (rural network),20th,Yes (cantonal living traditions),Important social infrastructure in villages.,Corridor-wide / Rotating
Milices vaudoises,Civic tradition,Militia heritage,"The Vaudois militia tradition, inherited from the cantonal defense system. Now expressed through shooting societies, Abbayes, and civic ceremonies.",Year-round,Continuous + periodic events,46.38165,6.23952,2507751.0,1137404.8,Nyon (militia heritage),Medieval to present,Yes (cantonal living traditions),Links to shooting societies and Abbayes.,Corridor-wide / Rotating
Carillons et cloches,Sound tradition,Bell ringing,"The tradition of church bells and carillons marking time and events along the corridor. Each town has its particular bell-ringing patterns for services, festivals, funerals, and civic occasions.",Year-round,Continuous (daily),46.52396,6.63356,2538226.1,1152835.4,Lausanne Cathédrale (guet & bells),Medieval to present,Yes (cantonal living traditions),Soundscape tradition defining the corridor's acoustic identity.,Corridor-wide / Rotating
Salée au sucre et raisinée (vin cuit),Culinary tradition,Traditional confection,Vaudois salée au sucre (sweet cake) and raisinée/vin cuit (cooked grape or fruit syrup). Traditional autumnal production in the wine regions.,Autumn,Annual (harvest season),46.49023,6.73074,2545648.5,1149013.9,Lutry-Lavaux (wine zone),Historical,Yes (cantonal living traditions),Linked to grape harvest traditions.,Corridor-wide / Rotating
Guérisseurs / Rebouteux,Healing tradition,Folk medicine,"Traditional healers (guérisseurs, rebouteux) still active in the Vaud countryside. Secret formulas passed down through families. Cantonal living tradition.",Year-round,Continuous,46.43837,6.9121,2559534.4,1143139.7,Montreux hinterland,Historical,Yes (cantonal living traditions),"Still active, discreetly, in rural areas.",Corridor-wide / Rotating
Messager boiteux,Literary tradition,Almanac,"The Messager boiteux de Berne et Vevey, an annual almanac published since 1708, transmitting weather lore, gardening advice, local news, and folk wisdom. Published in Vevey.",Year-round,Annual publication,46.4598,6.8422,2554180.4,1145560.2,Vevey,18th (since 1708),Yes (cantonal + national living traditions),The oldest continuously published almanac in the Romandie.,Vevey-La Tour-de-Peilz
Lois coutumières vaudoises,Legal tradition,Customary law,"Traditional customary laws and community rules (droits d'usage, communs) still governing aspects of village life, especially in agricultural and viticultural communities.",Year-round,Continuous,46.51092,6.49613,2527663.9,1151503.4,Morges (cantonal tradition),Medieval to present,Yes (cantonal living traditions),Living legal tradition.,Corridor-wide / Rotating
Giron du Pied-du-Jura à Saint-Prex (2025),Giron tradition,Youth rural gathering,"The 2025 Giron du Pied-du-Jura was hosted at Saint-Prex — the first time this major giron came to the lakeside. Major multi-day event with athletics, wrestling, tug-of-war, football, communal festivities.",Summer,"Annual (rotating, 2025 at Saint-Prex)",46.47926,6.44807,2523931.3,1148030.3,Saint-Prex,20th (since 1930s),Yes (cantonal living traditions),First time at Saint-Prex — directly on the thin corridor zone.,Saint-Prex-Morges
Fête nationale Saint-Prex,National celebration,1er août,"Saint-Prex 1er août celebration with cortège led by Fanfare de la Jeunesse, speeches, traditional fire, and fireworks over the lake. Active local associative life.",Summer,Annual (1 August),46.47884,6.45077,2524138.1,1147981.2,Saint-Prex - Vieux-Moulin,Historical,No,Fanfare de la Jeunesse leads cortège through the medieval bourg.,Saint-Prex-Morges
Secrets de Saint-Prex / Genius Loci,Heritage tradition,Local history walk,Promenade through Saint-Prex's medieval bourg with Genius Loci medallions and QR codes revealing hidden histories of each site. Active heritage interpretation.,Year-round,Continuous,46.48151,6.44826,2523948.9,1148279.5,Saint-Prex - medieval bourg,21st (recent),No,Digital-physical heritage trail through medieval town.,Saint-Prex-Morges
Béjart Ballet Lausanne,Dance tradition,Contemporary ballet,"Founded by Maurice Béjart in 1987, the company is a defining cultural institution of Lausanne. Listed as a cantonal living tradition alongside Prix de Lausanne.",Year-round,Continuous (season),46.5196,6.6328,2538162.8,1152351.6,Lausanne,20th (since 1987),Yes (cantonal living traditions),Major international dance institution.,Lausanne
Compagnie Philippe Saire / Linga,Dance tradition,Contemporary dance,Lausanne and Pully-based contemporary dance companies listed as cantonal living traditions. Part of Lausanne's identity as a dance capital.,Year-round,Continuous,46.51,6.66,2540239.3,1151263.4,Lausanne / Pully,20th,Yes (cantonal living traditions),Compagnie Linga based in Pully — directly on corridor.,Lausanne
Fête du Bois de Lausanne,Festival,Wood/forestry heritage,"Traditional celebration of wood and forestry in Lausanne, linked to the Jorat forest. Cantonal living tradition.",Variable,Periodic,46.53,6.64,2538727.0,1153502.0,Lausanne - Sauvabelin / Jorat area,Historical,Yes (cantonal living traditions),Linked to broader Swiss forestry traditions.,Lausanne
Régate des Vieux Bateaux de La Tour-de-Peilz,Sailing tradition,Historic boat regatta,Annual regatta of historic/vintage sailing boats at La Tour-de-Peilz. Part of the cantonal living traditions inventory for Lake Geneva regattas.,Summer,Annual,46.454,6.857,2555312.5,1144906.9,La Tour-de-Peilz,20th,Yes (cantonal living traditions),Vintage boats from multiple eras.,Vevey-La Tour-de-Peilz
Donation Bonnard (La Chiésaz),Charitable tradition,Food donation,"Traditional charitable food donation at La Chiésaz (near Blonay/Saint-Légier, above Vevey). Listed alongside Pain des veuves and Pâtés de la Dame in cantonal traditions.",Variable,Annual,46.46,6.88,2557084.3,1145561.1,La Chiésaz (Saint-Légier),Historical,Yes (cantonal living traditions),Third of the corridor's charitable food traditions.,Vevey-La Tour-de-Peilz
Journée des communes vaudoises,Civic tradition,Municipal gathering,"Annual gathering of Vaudois municipalities, a civic tradition reinforcing cantonal identity and inter-communal solidarity.",Variable,Annual,46.52262,6.63258,2538149.5,1152687.7,Lausanne (rotating host),20th,Yes (cantonal living traditions),Civic tradition linking all corridor communes.,Corridor-wide / Rotating
